date,open,high,low,close,vol
20260102,98.0,100.52,96.1,98.49,156908.41
20260103,100.0,101.0,88.81,89.79,341676.08
20260106,88.0,91.45,85.12,86.99,296870.18
20260107,86.58,94.5,86.01,94.15,324702.41
20260108,95.0,96.97,91.02,92.88,231388.27
20260109,92.0,99.58,91.5,98.8,289527.64
20260110,100.0,103.79,98.0,99.0,270770.02
20260113,99.0,106.0,98.0,102.26,368909.52
20260114,108.0,111.98,101.0,101.04,428722.12
20260115,103.99,106.0,99.89,100.68,315468.88
20260116,100.0,101.59,91.08,92.14,479729.46
20260117,93.0,93.0,80.7,81.8,480076.48
20260120,82.2,89.47,81.01,88.52,522654.43
20260121,90.0,91.89,83.46,85.0,491893.37
20260122,85.5,87.3,79.0,85.25,556684.03
20260123,87.0,89.0,82.22,83.29,460429.79
20260124,83.0,83.0,72.0,76.85,564486.89
20260127,79.56,86.0,78.05,83.0,424424.37
20260128,82.5,85.0,78.0,82.56,382762.39
20260129,84.35,88.68,82.64,84.0,352938.38
20260130,82.5,88.0,81.22,86.2,379253.31
20260131,85.0,89.58,84.11,88.88,372733.68
20260205,86.0,93.8,85.0,93.8,462574.95
20260206,93.9,94.7,85.71,87.31,445711.77
20260207,85.0,85.94,81.41,81.41,344294.5
20260210,82.9,86.8,80.0,80.37,484394.33
20260211,81.0,83.68,77.21,77.8,417800.22
20260212,76.98,79.5,74.0,77.7,393906.32
20260213,75.0,79.0,74.6,76.32,299274.96
20260214,76.67,80.4,75.1,76.95,348571.92
20260218,76.5,78.9,73.0,74.01,354905.91
20260219,75.0,75.0,69.7,70.0,343319.39
20260220,71.0,75.38,70.52,72.37,296520.91
20260221,70.93,71.15,66.0,67.79,348946.7
20260224,68.5,72.56,68.26,70.49,254641.03
20260225,69.7,70.7,67.62,68.0,224020.19
20260226,66.12,68.3,65.58,66.97,196520.33
20260227,66.0,68.0,64.42,64.99,190331.0
20260303,66.68,68.5,64.1,64.99,231477.52
20260304,65.0,70.5,64.68,70.32,301050.95
20260305,69.63,70.38,66.68,67.37,249517.65
20260306,67.0,69.88,66.5,68.6,196268.62
20260307,69.29,72.5,68.2,69.7,235349.36
20260310,70.74,76.97,69.6,75.17,370454.09
20260311,75.0,78.39,73.2,76.78,303846.39
20260312,76.0,79.5,74.31,78.1,317573.88
20260313,77.19,79.8,76.0,76.93,249651.84
20260314,76.34,78.73,74.9,78.15,256017.94
20260317,78.66,81.5,77.72,78.94,269001.13
20260318,78.56,79.9,75.0,75.85,285499.6
20260319,76.0,79.47,74.79,79.2,273446.04
20260320,78.9,79.39,76.2,76.6,239946.65
20260321,76.75,78.96,75.61,76.9,252041.65
20260324,76.0,76.38,71.4,71.49,274929.6
20260325,70.88,71.76,68.6,69.8,179000.85
20260326,70.96,73.39,70.17,72.2,243908.37
20260327,72.99,76.0,72.5,75.31,272247.21
20260331,74.77,75.8,72.73,72.77,230398.63
20260401,73.14,76.45,72.0,75.01,228454.61
20260402,74.8,78.8,74.6,77.04,270343.38
20260403,75.7,78.79,73.73,76.02,299153.15
20260407,76.8,82.6,75.13,79.2,392963.62
20260408,79.0,84.2,78.05,82.49,284763.79
20260409,82.08,84.88,80.0,82.55,242273.19
20260410,83.0,90.84,82.16,89.44,376483.77
20260411,87.78,90.8,85.11,87.46,283703.06
20260414,88.0,89.28,84.01,86.54,262247.9
20260415,87.66,92.28,86.97,90.68,320887.79
20260416,88.76,90.89,86.01,88.2,239618.37
20260417,90.36,94.0,88.5,93.52,310374.16
20260418,92.2,94.71,90.05,93.0,267905.35
20260421,92.32,96.94,90.43,93.74,331580.73
20260422,94.43,98.98,93.7,97.53,326808.99
20260423,96.0,97.68,93.75,93.86,230443.27
20260424,93.51,96.29,92.69,93.7,237668.45
20260427,91.9,95.5,89.88,95.48,298759.65
20260428,94.0,97.4,93.6,94.81,260915.33
20260429,96.2,99.9,94.58,98.24,312821.26
20260430,98.58,100.25,96.0,98.8,304719.51
20260506,99.01,106.0,98.8,103.01,473102.32
20260507,108.38,111.0,105.11,105.41,413613.17
20260508,107.61,111.5,105.39,110.78,441332.21
20260512,105.0,109.5,104.61,108.4,314658.58
20260513,107.0,108.23,103.15,103.2,319617.25
20260514,107.75,107.87,102.0,102.4,364665.64
20260515,101.82,103.1,100.13,100.67,233665.14
20260518,98.66,103.68,97.75,102.21,333218.86
20260519,101.95,104.97,100.65,101.68,310355.31
20260520,101.0,105.56,100.62,105.2,314696.48
20260521,106.2,107.0,103.63,104.15,250242.92
20260522,103.04,108.26,102.88,107.29,380137.09
20260525,106.67,112.0,106.0,110.45,471266.13
20260526,108.29,109.29,105.63,105.89,252788.07
20260527,104.85,106.19,103.07,103.52,271078.35
20260528,105.0,106.25,101.08,101.34,312916.06
20260529,100.1,103.0,99.7,100.21,283349.38
20260602,100.8,103.44,99.5,102.58,265479.62
20260603,102.65,106.2,101.4,103.1,344592.68
20260604,103.0,113.0,100.0,112.75,793237.08
20260605,115.0,117.77,111.0,117.48,547999.85
20260608,118.5,130.74,117.81,128.37,1161425.77
20260609,125.81,128.77,122.61,124.69,618491.59
20260610,125.97,126.36,119.03,119.8,737272.22
20260611,120.0,124.17,118.89,124.17,613930.22
20260612,124.0,131.74,123.0,130.4,862155.63
20260615,128.59,131.0,124.89,130.52,728604.09
20260616,131.0,134.34,127.93,130.14,745583.01
20260617,127.91,134.88,126.68,134.7,963562.12
20260618,136.11,144.63,132.88,140.7,1244937.14
20260622,140.78,148.0,140.0,145.59,1060960.58
20260623,143.58,148.3,139.6,141.7,918201.09
20260624,141.5,156.35,141.32,151.53,1411623.83
20260625,152.0,158.66,151.0,156.86,1186102.37
20260626,153.7,156.22,146.5,148.76,1076155.43
20260629,147.8,152.99,141.0,151.0,1027401.01
