trade_date,open,high,low,close,vol,pct_chg,SMA5,SMA10,SMA20,SMA60,EMA12,EMA26,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_DN,BOLL_WIDTH,RSI6,RSI14,K,D,J,WR,BIAS5,BIAS10,VOL_MA5,VOL_MA20,VOL_RATIO,MFI,TR,ATR14
2025-08-29,114.0,116.0,112.26,114.76,1639670.37,-3.741,107.918,100.85499999999999,95.1045,,101.99594579509872,96.31053255130661,5.685413243792112,3.170403813582157,5.0300188604199105,95.1045,113.50005835978949,76.70894164021051,38.684937852130005,80.62516145698788,77.15904650254006,79.8191559696044,72.07074018455465,95.31598753970388,-13.597560975609738,6.339998888044625,13.787120122948803,1619865.452,875074.4609999999,1.0122262734695326,90.24217576994569,6.959999999999994,6.007142857142857
2025-09-09,102.0,108.65,101.2,102.99,1574695.7,-10.2562,107.88200000000002,101.923,95.7505,,102.14887721123738,96.80530791787649,5.343569293360886,3.605036909537903,3.4770647676459667,95.7505,114.30835998892171,77.1926400110783,38.762951606355486,48.69542066027689,61.785307053266,69.11136340609784,71.08428125840237,65.16552770148877,-51.98590647021142,-4.534584082608798,1.046868714617891,1582677.196,939506.3659999998,0.9949569653115795,81.20973829012985,13.560000000000002,6.7128571428571435
2025-09-10,103.0,105.96,102.13,103.91,1039925.7,0.8933,108.478,103.37899999999999,96.446,,102.41981917873932,97.3315814054412,5.088237773298118,3.9016770822899463,2.373121382016344,96.446,115.13856581751432,77.75343418248568,38.762760130050644,50.98195329087048,62.26475792182724,61.45073769648839,67.87310007109771,48.60601294726976,-49.33934901708025,-4.21099209056214,0.5136439702454134,1619447.518,981718.6810000001,0.6421484416390949,75.87795142983293,3.8299999999999983,6.898571428571429
2025-09-11,102.62,112.8,99.98,110.28,1467501.66,6.1303,110.232,105.179,97.42099999999999,,103.62907776662557,98.29072352355666,5.338354243068906,4.189012514445738,2.2986834572463355,97.42099999999999,116.88741144990112,77.95458855009886,39.96348107677222,61.181535517818695,65.36758193091231,63.1810888125843,66.3090963182599,56.92507380123308,-28.810828230744434,0.043544524276073936,4.849827437035909,1628423.708,1041703.8705,0.9011792525437734,77.06060357433483,12.819999999999993,7.534285714285714
2025-09-12,109.28,112.49,108.01,108.42,1159022.04,-1.6866,108.072,106.91599999999998,98.3125,,104.36614272560624,99.04104029958951,5.325102426016727,4.416230496759936,1.8177438585135821,98.3125,118.09229072317581,78.53270927682419,40.238607955602404,58.01810164771408,62.33263909550729,56.743040497370814,63.1204110446302,43.98829940285202,-34.80502739284562,0.32200755052187335,1.406711811141475,1376163.094,1083891.9755000002,0.8422127036056091,77.82539618467897,4.47999999999999,7.509999999999999
2025-09-15,110.55,112.55,107.5,108.66,946836.18,0.2214,106.852,107.38500000000002,99.4125,,105.02673615243604,99.75355583295324,5.273180319482805,4.58762046130451,1.3711197163565885,99.4125,118.90868356715515,79.91631643284484,39.222801090718285,29.39110070257611,62.203313927451845,52.8668087030289,59.70254359742977,39.195338914227165,-34.03158233967129,1.6920600456706403,1.1873166643385735,1237596.2559999998,1101997.2595000002,0.7650606370289473,72.80097489731624,5.049999999999997,7.598571428571427
2025-09-16,109.0,111.86,108.09,109.78,866259.24,1.0307,108.21,108.046,100.5535,,105.75800751359972,100.49625540088263,5.26175211271709,4.722446791587027,1.0786106422601272,100.5535,119.64807489776392,81.45892510223608,37.97893638264988,38.824057450628366,65.6792018419033,52.223056113869575,57.2093811029097,42.25040613578932,-30.422172091524324,1.4508825432030379,1.6048719989633995,1095908.9640000002,1131350.5644999999,0.7904481744890627,76.59006536843717,3.769999999999996,7.644285714285712
2025-09-17,110.8,120.8,109.8,117.39,1528475.61,6.932,110.90599999999999,109.69200000000001,101.99699999999999,,107.54754481919977,101.74764388970614,5.7999009294936315,4.937937619168348,1.7239266206505661,101.99699999999999,121.61896417015221,82.37503582984776,38.47557118376467,89.73509933774835,67.97937849062008,62.689209999704275,59.03599073517456,69.99564852876371,-11.366666666666655,5.8463924404450704,7.017831747073617,1193618.946,1180196.725,1.2805389987501088,77.70834167731789,11.019999999999996,8.124285714285712
2025-09-18,119.98,127.49,116.35,122.15,1931567.78,4.0549,113.28,111.756,103.6715,,109.79407638547673,103.25892952750569,6.535146857971043,5.257379466928888,2.55553478208431,103.6715,124.19640582066991,83.14659417933008,39.596042925336114,91.53005464480876,71.19683751363141,68.65576559049715,62.24258235361542,81.48213206426064,-15.226689478186456,7.830155367231642,9.30061920612764,1286432.17,1257559.893,1.5014921307510525,79.48542842553036,11.14,8.683571428571426
2025-09-19,123.0,127.4,120.11,121.34,1449106.23,-0.6631,115.864,111.968,105.2655,,111.57037232617262,104.59826808102378,6.9721042451488415,5.6003244225728785,2.743559645151926,105.2655,126.09277611874192,84.43822388125808,39.57094417210182,83.71951219512195,64.1795918367347,71.6520080308876,65.37905757937281,84.19790893391718,-22.355507088331493,4.726230753296968,8.370248642469276,1344449.008,1292940.5914999999,1.0778439504787825,79.21841575656822,7.290000000000006,8.20785714285714
2025-09-22,120.54,129.83,119.05,128.92,1588281.47,6.2469,119.91600000000001,113.38400000000001,107.11950000000002,,114.23954581445375,106.39987785279979,7.839667961653959,6.048193130389095,3.582949662529728,107.11950000000002,129.4612395308235,84.77776046917654,41.713674038477535,96.33815551537069,68.92547405556371,80.08514661578991,70.2810872581785,99.69326533101273,-3.048576214405443,7.508589345875426,13.70210964509981,1472738.066,1337829.692,1.0784548228007844,79.36690634339854,10.780000000000015,8.39642857142857
2025-09-23,127.64,129.33,122.63,128.51,1441273.53,-0.318,123.66199999999999,115.936,108.9295,,116.4350003045378,108.03766467851833,8.39733562601947,6.51802162951517,3.7586279930085986,108.9295,132.07066175494273,85.78833824505728,42.488328239719685,94.52669358456707,70.83081570996978,85.24939422627197,75.27052291420965,105.20713685039661,-4.42211055276389,3.920363571671168,10.845638973226594,1587740.924,1368222.2119999998,0.9077510746331308,83.91950733157164,6.700000000000017,8.657857142857143
2025-09-24,126.88,137.98,126.23,134.98,1460947.53,5.0346,127.17999999999999,119.04299999999998,111.21099999999998,,119.28807718076274,110.0333932208503,9.254683959912441,7.065354095594625,4.378659728635633,111.21099999999998,135.20597921166893,87.21602078833105,43.15216878126974,95.58610709117221,73.21403800804549,86.88542292250152,79.14215625030694,102.37195626689069,-7.8947368421052655,6.133039786129893,13.387599438858242,1574235.3079999997,1404036.9815000002,0.9280363123452445,84.24267255362913,11.749999999999986,9.06142857142857
2025-09-25,133.0,137.8,132.31,134.11,1032583.21,-0.6445,129.572,121.426,113.30250000000001,,121.56837299910693,111.81684557486139,9.751527424245538,7.6025887613248075,4.29787732584146,113.30250000000001,137.63938720743417,88.96561279256585,42.95913542496266,90.0000000000001,63.47511312217196,87.0246651504341,81.76965921701598,97.53467701727035,-10.18421052631573,3.502299879603626,10.44586826544563,1394438.394,1412728.864,0.7405011325297745,83.29415765722636,5.490000000000009,8.188571428571429
2025-09-26,132.71,135.95,131.2,132.27,912445.19,-1.372,131.75799999999998,123.811,115.3635,,123.21477715309048,113.33189405079759,9.882883102292894,8.058647629518426,3.6484709455489366,115.3635,138.72783293899516,91.99916706100484,40.50558961715822,78.14238042269196,66.63499904997151,84.9819837481092,82.84043406071372,89.26508312290017,-15.026315789473635,0.38859120508813805,6.832187770068897,1287106.186,1428009.821,0.7089121316677441,77.23067428363142,4.75,8.030714285714286
2025-09-29,131.0,136.02,129.16,136.02,1027207.23,2.8351,133.178,126.547,116.96600000000001,,125.18481143723041,115.01249449147925,10.172316945751163,8.481381492764974,3.3818709059723773,116.96600000000001,141.41145498602324,92.52054501397677,41.79924933061442,85.08604206500965,87.02084734364496,87.66956001943976,84.4501427136224,94.10839463107448,-5.157894736842053,2.133986093799286,7.485756280275322,1174891.338,1376272.778,0.8742997729037645,84.55509805623275,6.860000000000014,7.552142857142859
2025-09-30,138.5,142.0,136.6,140.13,986229.0,3.0216,135.502,129.58200000000002,118.81400000000001,,127.48407121611804,116.87305045507337,10.61102076104467,8.907309346420913,3.4074228292475155,118.81400000000001,144.42832773396879,93.19967226603121,43.116682771338034,82.12034383954165,87.88702928870296,89.34955723193319,86.08328088639266,95.88210992301424,-4.450261780104723,3.415447742468735,8.140019447145415,1083882.432,1337552.379,0.9099040365293051,89.70629250461138,5.97999999999999,7.705714285714286
2025-10-09,144.0,153.0,137.0,138.91,1662841.1,-0.8706,136.288,131.73399999999998,120.71300000000001,100.26566666666666,129.24190641363833,118.5054170880309,10.736489325607437,9.273145342258218,2.926687966698438,120.71300000000001,146.376134402649,95.04986559735102,42.51925542841117,78.47754654983578,83.56389214536932,79.06563511093042,83.74406562790523,69.70877407698077,-30.967032967032974,1.923867104954204,5.447340853538204,1124261.1460000002,1377890.7295,1.4790523588902893,90.06809662321109,16.0,7.932857142857144
2025-10-10,134.87,134.94,127.17,127.95,1617420.76,-7.89,135.056,132.31400000000002,122.035,100.96316666666667,129.0431515807709,119.20501582225083,9.838135758520082,9.38614342551059,0.9039846660189816,122.035,146.21414934727648,97.85585065272353,39.626581468064856,34.549450549450555,68.86956521739133,61.44876410439053,76.31229845340033,31.721695406370912,-55.05494505494505,-5.261521146783562,-3.2982148525477406,1241228.656,1387630.732,1.3030804213079656,81.47445571359535,11.739999999999995,8.451428571428574
